VDS_CD,TRFFCVLM,OCCPNCY,SPD_AVG,Start or End,point,geometry,length,count,black-spot
0010VDS25310,548305,3.42,60.69571429,S,329.9,"LINESTRING (127.252755599932 36.736708799084084, 127.23103618224471 36.745125037768396)",2153,0,0
0010VDS25450,15047824,8.152,92.418,S,327.6,"LINESTRING (127.23104594255553 36.74512076479682, 127.219519035256 36.75077969034453)",1206,0,0
0010VDS25500,13554137,7.175,88.146,S,328.9,"LINESTRING (127.21957168134598 36.750715002166416, 127.21805829385201 36.75957658361305)",993,1,0.073778213
0010VDS25610,0,0,0,S,332.6,"LINESTRING (127.2179966059327 36.75964525825322, 127.20034009173123 36.76660600541225)",1756,2,0
0010VDS25700,0,0,0,S,331.7,"LINESTRING (127.20029703292043 36.766615057467, 127.19024272119835 36.767065307932434)",899,0,0
0010VDS25810,0,0,0,S,334,"LINESTRING (127.19026492588794 36.76706249778154, 127.1827979179882 36.76863784950493)",689,0,0
0010VDS25900,1772490,6.215,86.57,S,333.3,"LINESTRING (127.18285910810528 36.7686047723505, 127.17824611056345 36.77354783579215)",686,1,0.564178077
0010VDS26100,27483,17.638,96.044,S,335.2,"LINESTRING (127.17826365626645 36.77352007824087, 127.17433926923493 36.78383982179397)",1198,0,0
0010VDS26200,17517136,8.384444444,88.09888889,S,336.1,"LINESTRING (127.17433556476982 36.78384809559176, 127.1704680730236 36.79132000895343)",898,0,0
0010VDS26300,21060849,8.21,95.775,S,337.1,"LINESTRING (127.17047019296588 36.79131558996529, 127.16672700305163 36.799772403296274)",996,0,0
0010VDS26320,4603758,21.369,31.21,S,340.3,"LINESTRING (127.16673203425908 36.79975667698652, 127.16530184411516 36.80680990834956)",793,0,0
0010VDS26350,25201161,6.49,91.789,S,337.9,"LINESTRING (127.16530307136621 36.80678957652841, 127.1663156896058 36.81936584567989)",1399,0,0
0010VDS26400,22729277,8.644,90.398,S,339.3,"LINESTRING (127.1663097998068 36.81934228541366, 127.16990841005318 36.82773238229801)",985,0,0
0010VDS26500,17708622,12.638,83.217,S,341.1,"LINESTRING (127.16989965908374 36.8277169014279, 127.17435456443702 36.83395692785694)",798,0,0
0010VDS26600,17677421,12.553,83.207,S,342.2,"LINESTRING (127.17436807469436 36.83398774948398, 127.17628718846899 36.843762867786054)",1098,0,0
0010VDS26700,2478873,10.457,77.883,S,344.4,"LINESTRING (127.17627967729275 36.843741761474625, 127.1858735975091 36.86194194334262)",2194,1,0.40340913
0010VDS26750,17217812,9.126,87.397,S,345.2,"LINESTRING (127.18588150657592 36.86196522292358, 127.18706331675395 36.86910312187996)",799,0,0
0010VDS26800,17338121,10.855,68.114,S,346.1,"LINESTRING (127.18706333646739 36.86910324154707, 127.18837984793079 36.87713541038441)",899,1,0.057676377
0010VDS26900,20065793,8.103,88.795,S,350.1,"LINESTRING (127.1883807931061 36.877145689930046, 127.1891210457442 36.91310323948571)",3991,1,0.049836057
0010VDS27000,24725381,14.596,82.025,S,351.1,"LINESTRING (127.18912105887999 36.91310529596516, 127.18905067207292 36.92210670609226)",999,0,0
0010VDS27100,17579695,5.811,104.789,S,352.6,"LINESTRING (127.18905064624143 36.922104125332524, 127.1894265660303 36.935603205073875)",1498,1,0.056883808
0010VDS27150,20150607,5.873,97.377,S,354.1,"LINESTRING (127.18942584021575 36.935615647885086, 127.18752245905276 36.948733109737695)",1466,0,0
0010VDS27200,17923246,5.349,92.036,S,355.9,"LINESTRING (127.18750501655585 36.94877187153217, 127.17648682604789 36.96234890019839)",1798,1,0.055793465
0010VDS27300,24149066,10.281,89.984,S,357.2,"LINESTRING (127.17648684268437 36.96234887969663, 127.16853004954648 36.97215568595838)",1299,1,0.041409469
0010VDS27310,18218,6.41,53.46,S,360.5,"LINESTRING (127.16853005410968 36.97215568033459, 127.15934766202815 36.983471057563534)",1498,0,0
0010VDS27400,5784112,9.672222222,87.12444444,S,358.7,"LINESTRING (127.15935877591595 36.98345337973633, 127.15427968879906 36.994373234249245)",1293,1,0.172887385
0010VDS27500,21822328,13.125,87.629,S,360,"LINESTRING (127.15428197598133 36.9943677948219, 127.15298348037426 36.99781448600635)",400,0,0
0010VDS27601,10056399,13.74833333,90.24666667,S,360.4,"LINESTRING (127.1529835180229 36.997814385867905, 127.15266011912293 36.99867636616305)",100,0,0
0010VDS27610,2802054,6.291,74.256,S,365,"LINESTRING (127.15266007803542 36.998676475424766, 127.15006178682202 37.00556951779535)",799,0,0
0010VDS27700,19713701,7.718,94.264,S,361.3,"LINESTRING (127.15005949425455 37.005574965581864, 127.14809839922525 37.00978645732545)",499,0,0
0010VDS27710,3107207,6.697,80.105,S,365.1,"LINESTRING (127.14809622503577 37.00979078150955, 127.14586342953415 37.01392001344855)",499,0,0
0010VDS27730,2213152,7.212,43.779,S,361.85,"LINESTRING (127.14586337303103 37.01392011775627, 127.14541547392834 37.014745528145035)",100,0,0
0010VDS27801,22187997,10.724,80.135,S,362.35,"LINESTRING (127.14542037585967 37.014734628407425, 127.14230958698262 37.023349971260735)",995,0,0
0010VDS27810,2472462,7.578,48.68,S,362.4,"LINESTRING (127.1423116624424 37.023343274280684, 127.13864968185123 37.037443177738034)",1598,0,0
0010VDS27900,26427163,10.782,102.834,S,363.4,"LINESTRING (127.13864968032404 37.03744318361621, 127.13842068153747 37.038324433832486)",100,0,0
0010VDS28201,25870444,20.071,77.147,S,366.52,"LINESTRING (127.13842219396801 37.038317118004734, 127.13649401194493 37.05080901989219)",1397,1,0.038654149
0010VDS28300,27010367,14.769,79.753,S,367.4,"LINESTRING (127.13649456623635 37.050804496298625, 127.1357604780548 37.05888440704775)",899,0,0
0010VDS28400,25204423,8.843,94.115,S,368.2,"LINESTRING (127.13576048536349 37.058884326109194, 127.13511589587557 37.06606690676794)",799,0,0
0010VDS28500,25166959,10.756,92.882,S,369.4,"LINESTRING (127.13510914771823 37.066091824641404, 127.13048645955175 37.07606455876327)",1181,0,0
0010VDS28600,24779136,11.871,97.024,S,370.3,"LINESTRING (127.13048485414802 37.07606782534809, 127.12660276250998 37.083536068750284)",898,0,0
0010VDS28700,27081087,12.353,82.845,S,371.2,"LINESTRING (127.12660467612396 37.083532130092294, 127.12315828526418 37.091148403177996)",899,0,0
0010VDS28800,5302519,5.8425,94.81,S,372.2,"LINESTRING (127.12315826757116 37.09114844224598, 127.11932327772179 37.09960937568001)",999,2,0.377179224
0010VDS28900,21343618,11.682,89.915,S,374.1,"LINESTRING (127.11932276021477 37.099610494166676, 127.11177427905552 37.11559589089028)",1897,1,0.046852413
0010VDS29000,24501487,11.099,95.111,S,375.2,"LINESTRING (127.11174949307544 37.11562700881018, 127.10314559330095 37.12267525457873)",1094,1,0.040813849
0010VDS29010,3057210,11.151,34.137,S,377.9,"LINESTRING (127.10314011756367 37.122679447583465, 127.09308201565568 37.12987725385591)",1199,3,0.98128686
0010VDS29100,24150223,11.871,76.856,S,376.4,"LINESTRING (127.0931048586502 37.12985460491534, 127.08501456844465 37.14124182156924)",1454,0,0
0010VDS29301,24378638,11.853,88.744,S,379,"LINESTRING (127.08502916902961 37.14120153694394, 127.08445798320741 37.150804387566026)",1067,0,0
0010VDS29310,2727962,7.088,55.072,S,382.5,"LINESTRING (127.08445121054707 37.150769031810285, 127.08871422181358 37.16006174812466)",1099,1,0.366574021
0010VDS29400,24406991,10.472,82.507,S,380.1,"LINESTRING (127.08871408872189 37.16006145956525, 127.09106189483481 37.165124827536836)",599,0,0
0010VDS29500,23666196,13.552,80.588,S,380.7,"LINESTRING (127.09106471827285 37.16513176491143, 127.09621373761703 37.17976762037556)",1687,0,0
0010VDS29600,21384618,10.134,80.733,S,382.4,"LINESTRING (127.09621787706905 37.17979537628357, 127.09617637840097 37.18069460633043)",100,0,0
0010VDS29610,3317175,11.372,39.455,S,386,"LINESTRING (127.09617610241789 37.18069840737736, 127.09440412868831 37.19856928919247)",1990,0,0
0010VDS29650,0,0,0,S,384.5,"LINESTRING (127.09440411082151 37.19855485300106, 127.09522512272153 37.20662927230345)",899,0,0
0010VDS29800,0,0,0,S,385.4,"LINESTRING (127.09522496549921 37.206627863167306, 127.09594577421213 37.21256146254521)",662,0,0
0010VDS29900,18654523,7.07875,95.63875,S,387,"LINESTRING (127.09593819127133 37.21253660247079, 127.10010490095381 37.22083802889514)",993,0,0
0010VDS30000,18157959,7.4,87.22625,S,388,"LINESTRING (127.10009730100725 37.22082570171143, 127.10583620754565 37.22857977710877)",1000,1,0.055072269
0010VDS30100,22719116,10.943,89.615,S,389,"LINESTRING (127.10585191410772 37.228624354401354, 127.10601282703301 37.23730627432493)",964,0,0
